ProductId,UPC
"UA_011443260234","011443260234"
"UA_011443271032","011443271032"
"UA_011443321010","011443321010"
"UA_011452045549","011452045549"
"UA_011452045556","011452045556"
"UA_011452045563","011452045563"
"UA_011452045570","011452045570"
"UA_011452045792","011452045792"
"UA_011452045808","011452045808"
"UA_011452045815","011452045815"
"UA_011452045822","011452045822"
"UA_011472107500","011472107500"
"UA_011472107555","011472107555"
"UA_011472207507","011472207507"
"UA_011472317503","011472317503"
"UA_011472317510","011472317510"
"UA_011472327502","011472327502"
"UA_011472507515","011472507515"
"UA_011472507522","011472507522"
"UA_011472507560","011472507560"
"UA_011472507577","011472507577"
"UA_011472517507","011472517507"
"UA_011472517576","011472517576"
"UA_011472527506","011472527506"
"UA_011472527520","011472527520"
"UA_011472607505","011472607505"
"UA_011472607512","011472607512"
"UA_011472617504","011472617504"
"UA_011472717501","011472717501"
"UA_011472807509","011472807509"
"UA_011607041754","011607041754"
"UA_011607042751","011607042751"
"UA_011607207501","011607207501"
"UA_011607800214","011607800214"
"UA_011607800757","011607800757"
"UA_011607802751","011607802751"
"UA_011607819759","011607819759"
"UA_011607870750","011607870750"
"UA_011628017004","011628017004"
"UA_011628017967","011628017967"
"UA_011628017974","011628017974"
"UA_011628017981","011628017981"
"UA_011628017998","011628017998"
"UA_011628111009","011628111009"
"UA_011628111016","011628111016"
"UA_011628111979","011628111979"
"UA_011628111986","011628111986"
"UA_011628111993","011628111993"
"UA_011628113959","011628113959"
"UA_011628200970","011628200970"
"UA_011628222002","011628222002"
"UA_011628222019","011628222019"
"UA_011628252832","011628252832"
"UA_011628314004","011628314004"
"UA_011628314950","011628314950"
"UA_011628314981","011628314981"
"UA_011628314998","011628314998"
"UA_011628328636","011628328636"
"UA_011628333029","011628333029"
"UA_011628334354","011628334354"
"UA_011628334996","011628334996"
"UA_011628701002","011628701002"
"UA_011628701026","011628701026"
"UA_011628701989","011628701989"
"UA_011628701996","011628701996"
"UA_011628821960","011628821960"
"UA_011628821977","011628821977"
"UA_011628821984","011628821984"
"UA_011668000011","011668000011"
"UA_011668000127","011668000127"
"UA_011668010133","011668010133"
"UA_011668010225","011668010225"
"UA_011668030926","011668030926"
"UA_011668040727","011668040727"
"UA_011668050122","011668050122"
"UA_011668060220","011668060220"
"UA_011668140014","011668140014"
"UA_011668880125","011668880125"
"UA_011668880323","011668880323"
"UA_011668880620","011668880620"
"UA_011668900229","011668900229"
"UA_011668910426","011668910426"
"UA_011668910723","011668910723"
"UA_011668920128","011668920128"
"UA_011668920142","011668920142"
"UA_011668930158","011668930158"
"UA_011668930165","011668930165"
"UA_011699005825","011699005825"
"UA_011699005870","011699005870"
"UA_011699005894","011699005894"
"UA_011699005900","011699005900"
"UA_011699005917","011699005917"
"UA_011699006198","011699006198"
"UA_011699006204","011699006204"
"UA_011699006228","011699006228"
"UA_011699006358","011699006358"
"UA_011699006846","011699006846"
"UA_011699006976","011699006976"
"UA_011699007126","011699007126"
"UA_011699007249","011699007249"
"UA_011699007737","011699007737"
"UA_011699007744","011699007744"
"UA_011699007843","011699007843"
"UA_011699007850","011699007850"
"UA_011699007867","011699007867"
"UA_011699007874","011699007874"
"UA_011699007904","011699007904"
"UA_011699007928","011699007928"
"UA_011699007959","011699007959"
"UA_011699008109","011699008109"
"UA_011699008116","011699008116"
"UA_011699008147","011699008147"
"UA_011699008154","011699008154"
"UA_011699008222","011699008222"
"UA_011699008284","011699008284"
"UA_011699008437","011699008437"
"UA_011699008475","011699008475"
"UA_011699008581","011699008581"
"UA_011699008642","011699008642"
"UA_011699008703","011699008703"
"UA_011699008741","011699008741"
"UA_011699008758","011699008758"
"UA_011699008895","011699008895"
"UA_011699008918","011699008918"
"UA_011699008956","011699008956"
"UA_011699008963","011699008963"
"UA_011699008994","011699008994"
"UA_011699009014","011699009014"
"UA_011699009120","011699009120"
"UA_011699009168","011699009168"
"UA_011699009175","011699009175"
"UA_011699009205","011699009205"
"UA_011699009243","011699009243"
"UA_011699009281","011699009281"
"UA_011699009311","011699009311"
"UA_011699009328","011699009328"
"UA_011699010485","011699010485"
"UA_011699010515","011699010515"
"UA_011699010782","011699010782"
"UA_011699011055","011699011055"
"UA_011699011093","011699011093"
"UA_011699011383","011699011383"
"UA_011699011390","011699011390"
"UA_011699011406","011699011406"
"UA_011699012632","011699012632"
"UA_011699012762","011699012762"
"UA_011699012908","011699012908"
"UA_011699013196","011699013196"
"UA_011699013264","011699013264"
"UA_011699013424","011699013424"
"UA_011699013431","011699013431"
"UA_011699013813","011699013813"
"UA_011699014124","011699014124"
"UA_011699014933","011699014933"
"UA_011699015114","011699015114"
"UA_011699015121","011699015121"
"UA_011699015183","011699015183"
"UA_011699015190","011699015190"
"UA_011699015442","011699015442"
"UA_011699015657","011699015657"
"UA_011699015725","011699015725"
"UA_011699015794","011699015794"
"UA_011699015817","011699015817"
"UA_011699015824","011699015824"
"UA_011699016043","011699016043"
"UA_011699016050","011699016050"
"UA_011699016148","011699016148"
"UA_011699016395","011699016395"
"UA_011699016401","011699016401"
"UA_011699016418","011699016418"
"UA_011699016425","011699016425"
"UA_011699016746","011699016746"
"UA_011699016821","011699016821"
"UA_011699017149","011699017149"
"UA_011699017156","011699017156"
"UA_011699017828","011699017828"
"UA_011699102203","011699102203"
"UA_011721027504","011721027504"
"UA_011721037503","011721037503"
"UA_011721107503","011721107503"
"UA_011721207500","011721207500"
"UA_011721407504","011721407504"
"UA_011721750013","011721750013"
"UA_011721750020","011721750020"
"UA_011721750037","011721750037"
"UA_011721750044","011721750044"
"UA_011721750068","011721750068"
"UA_011721750075","011721750075"
"UA_011721750082","011721750082"
"UA_011721750099","011721750099"
"UA_011721975003","011721975003"
"UA_011792995092","011792995092"
"UA_011792995603","011792995603"
"UA_011811111113","011811111113"
"UA_011811111120","011811111120"
"UA_011811111137","011811111137"
"UA_011811111199","011811111199"
"UA_011811111212","011811111212"
"UA_011852029514","011852029514"
"UA_011852039414","011852039414"
"UA_011852039421","011852039421"
"UA_011852039438","011852039438"
"UA_011852040311","011852040311"
"UA_011852049413","011852049413"
"UA_011852049420","011852049420"
"UA_011852079519","011852079519"
"UA_011852090217","011852090217"
"UA_011852100114","011852100114"
"UA_011901018827","011901018827"
"UA_011901028826","011901028826"
"UA_011901039020","011901039020"
"UA_011901089124","011901089124"
"UA_011901098829","011901098829"
"UA_011901139126","011901139126"
"UA_011901149125","011901149125"
"UA_011901158813","011901158813"
"UA_011901158820","011901158820"
"UA_011901189824","011901189824"
